PQID,CMT,UNM,CAT
20,1,Winston Chang,I
25,1,Winston Chang,I
29,2,Winston Chang,I
31,13,Winston Chang,I
33,1,Winston Chang,I
39,1,Winston Chang,I
40,1,Winston Chang,I
42,3,Winston Chang,I
44,37,Winston Chang,I
46,2,Winston Chang,I
47,3,Winston Chang,I
48,25,Winston Chang,I
49,7,Winston Chang,I
53,1,Winston Chang,I
54,1,Winston Chang,I
56,4,Winston Chang,I
62,11,Winston Chang,I
64,1,Winston Chang,I
65,2,Winston Chang,I
70,16,Winston Chang,I
75,1,Winston Chang,I
77,3,Winston Chang,I
79,1,Winston Chang,I
80,3,Winston Chang,I
88,3,Winston Chang,I
90,3,Winston Chang,I
91,3,Winston Chang,I
92,1,Winston Chang,I
94,9,Winston Chang,I
95,2,Winston Chang,I
97,2,Winston Chang,I
104,1,Winston Chang,I
106,2,Winston Chang,I
107,4,Winston Chang,I
110,2,Winston Chang,I
112,2,Winston Chang,I
116,2,Winston Chang,I
118,1,Winston Chang,I
120,1,Winston Chang,I
124,2,Winston Chang,I
125,3,Winston Chang,I
126,3,Winston Chang,I
129,4,Winston Chang,I
130,3,Winston Chang,I
134,3,Winston Chang,I
135,3,Winston Chang,I
140,1,Winston Chang,I
146,8,Winston Chang,I
147,2,Winston Chang,I
148,3,Winston Chang,I
151,10,Winston Chang,I
152,3,Winston Chang,I
155,10,Winston Chang,I
158,52,Winston Chang,I
162,4,Winston Chang,I
163,4,Winston Chang,I
171,3,Winston Chang,I
210,2,Philip Kaufmann,I
211,2,Philip Kaufmann,I
212,2,Philip Kaufmann,I
221,19,Pieter Wuille,I
228,2,Pieter Wuille,I
229,2,Philip Kaufmann,I
240,1,Pieter Wuille,I
243,3,Pieter Wuille,I
244,2,Pieter Wuille,I
249,2,Pieter Wuille,I
250,1,Pieter Wuille,I
251,1,Pieter Wuille,I
281,2,Wladimir J. van der Laan,I
282,1,Wladimir J. van der Laan,I
283,1,Philip Kaufmann,I
288,1,Philip Kaufmann,I
289,1,Philip Kaufmann,I
294,1,Wladimir J. van der Laan,I
295,1,Wladimir J. van der Laan,I
297,1,Philip Kaufmann,I
300,1,Philip Kaufmann,I
301,1,Philip Kaufmann,I
303,1,Pieter Wuille,I
304,1,Philip Kaufmann,I
305,1,Philip Kaufmann,I
307,1,Philip Kaufmann,I
309,1,Philip Kaufmann,I
314,2,Pieter Wuille,I
320,2,Pieter Wuille,I
326,24,Wladimir J. van der Laan,I
334,1,Philip Kaufmann,I
336,1,Philip Kaufmann,I
338,2,Pieter Wuille,I
342,1,Philip Kaufmann,I
347,1,Philip Kaufmann,I
350,1,Philip Kaufmann,I
351,1,Philip Kaufmann,I
352,1,Philip Kaufmann,I
355,1,Philip Kaufmann,I
357,1,Philip Kaufmann,I
358,1,Philip Kaufmann,I
372,4,Pieter Wuille,I
373,3,Winston Chang,I
378,1,Philip Kaufmann,I
380,1,Philip Kaufmann,I
382,1,Pieter Wuille,I
387,1,Pieter Wuille,I
425,1,Pieter Wuille,I
428,1,Pieter Wuille,I
467,1,Wladimir J. van der Laan,I
468,1,Wladimir J. van der Laan,I
473,1,Philip Kaufmann,I
480,1,Philip Kaufmann,I
481,1,Philip Kaufmann,I
483,4,Winston Chang,I
485,13,Winston Chang,I
490,1,Pieter Wuille,I
493,1,Pieter Wuille,I
505,1,Philip Kaufmann,I
507,1,Pieter Wuille,I
513,4,Winston Chang,I
517,1,Pieter Wuille,I
529,12,Wladimir J. van der Laan,I
601,1,Philip Kaufmann,I
603,1,Philip Kaufmann,I
608,1,Pieter Wuille,I
610,1,Pieter Wuille,I
623,1,Philip Kaufmann,I
636,1,Philip Kaufmann,I
648,1,Philip Kaufmann,I
662,1,Pieter Wuille,I
670,1,Pieter Wuille,I
672,1,Pieter Wuille,I
675,3,Pieter Wuille,I
678,1,Pieter Wuille,I
682,1,Pieter Wuille,I
684,3,Pieter Wuille,I
687,3,Pieter Wuille,I
693,1,Wladimir J. van der Laan,I
697,1,Wladimir J. van der Laan,I
700,1,Wladimir J. van der Laan,I
701,1,Pieter Wuille,I
711,1,Wladimir J. van der Laan,I
713,1,Pieter Wuille,I
716,11,Winston Chang,I
719,1,Pieter Wuille,I
722,1,Philip Kaufmann,I
724,1,Philip Kaufmann,I
728,3,Philip Kaufmann,I
730,1,Pieter Wuille,I
738,1,Philip Kaufmann,I
744,1,Pieter Wuille,I
749,1,Philip Kaufmann,I
769,4,Philip Kaufmann,I
771,1,Wladimir J. van der Laan,I
775,1,Pieter Wuille,I
777,1,Philip Kaufmann,I
784,1,Wladimir J. van der Laan,I
789,3,Philip Kaufmann,I
792,1,Philip Kaufmann,I
793,1,Philip Kaufmann,I
798,6,Wladimir J. van der Laan,I
801,1,Philip Kaufmann,I
803,1,Philip Kaufmann,I
806,1,Philip Kaufmann,I
808,1,Philip Kaufmann,I
811,1,Philip Kaufmann,I
812,1,Wladimir J. van der Laan,I
816,1,Pieter Wuille,I
821,1,Pieter Wuille,I
822,1,Philip Kaufmann,I
827,1,Philip Kaufmann,I
828,2,Pieter Wuille,I
830,1,Philip Kaufmann,I
831,1,Philip Kaufmann,I
832,1,Philip Kaufmann,I
837,1,Philip Kaufmann,I
842,1,Pieter Wuille,I
845,1,Philip Kaufmann,I
847,1,Philip Kaufmann,I
850,1,Philip Kaufmann,I
852,1,Philip Kaufmann,I
855,1,Philip Kaufmann,I
865,1,Philip Kaufmann,I
867,1,Philip Kaufmann,I
870,1,Wladimir J. van der Laan,I
883,1,Wladimir J. van der Laan,I
886,1,Pieter Wuille,I
888,1,Pieter Wuille,I
889,1,Pieter Wuille,I
890,1,Pieter Wuille,I
891,1,Philip Kaufmann,I
894,3,Pieter Wuille,I
907,2,Philip Kaufmann,I
909,1,Philip Kaufmann,I
917,1,Philip Kaufmann,I
918,1,Philip Kaufmann,I
919,1,Philip Kaufmann,I
949,1,Philip Kaufmann,I
959,1,Pieter Wuille,I
960,1,Wladimir J. van der Laan,I
964,1,Pieter Wuille,I
965,2,Wladimir J. van der Laan,I
966,3,Wladimir J. van der Laan,I
969,1,Pieter Wuille,I
970,1,Pieter Wuille,I
974,1,Philip Kaufmann,I
977,1,Pieter Wuille,I
991,1,Philip Kaufmann,I
1007,1,Pieter Wuille,I
1032,2,Pieter Wuille,I
1034,2,Pieter Wuille,I
1035,1,Philip Kaufmann,I
1036,5,Pieter Wuille,I
1040,1,Pieter Wuille,I
1042,1,Pieter Wuille,I
1045,1,Philip Kaufmann,I
1050,1,Philip Kaufmann,I
1053,1,Philip Kaufmann,I
1057,5,Pieter Wuille,I
1064,5,Pieter Wuille,I
1068,1,Philip Kaufmann,I
1071,1,Philip Kaufmann,I
1075,1,Pieter Wuille,I
1086,1,Philip Kaufmann,I
1090,2,Philip Kaufmann,I
1093,1,Philip Kaufmann,I
1095,1,Philip Kaufmann,I
1100,1,Philip Kaufmann,I
1103,1,Philip Kaufmann,I
1114,1,Pieter Wuille,I
1126,1,Philip Kaufmann,I
1286,1,Philip Kaufmann,I
1290,1,Philip Kaufmann,I
1291,1,Philip Kaufmann,I
1292,1,Pieter Wuille,I
1299,3,Pieter Wuille,I
1302,22,Winston Chang,I
1306,1,Philip Kaufmann,I
1308,1,Philip Kaufmann,I
1334,1,Pieter Wuille,I
1341,1,Pieter Wuille,I
1347,1,Philip Kaufmann,I
1349,1,Philip Kaufmann,I
1362,15,Winston Chang,I
1365,1,Philip Kaufmann,I
1366,2,Philip Kaufmann,I
1370,1,Philip Kaufmann,I
1374,20,Philip Kaufmann,I
1375,8,Winston Chang,I
1383,1,Philip Kaufmann,I
1386,1,Philip Kaufmann,I
1387,1,Pieter Wuille,I
1388,8,Pieter Wuille,I
1391,1,Pieter Wuille,I
1392,1,Philip Kaufmann,I
1396,2,Pieter Wuille,I
1398,1,Philip Kaufmann,I
1400,1,Philip Kaufmann,I
1403,1,Pieter Wuille,I
1408,1,Philip Kaufmann,I
1409,1,Wladimir J. van der Laan,I
1410,1,Philip Kaufmann,I
1411,1,Philip Kaufmann,I
1412,1,Philip Kaufmann,I
1416,1,Pieter Wuille,I
1418,1,Philip Kaufmann,I
1419,1,Philip Kaufmann,I
1421,1,Pieter Wuille,I
1423,1,Philip Kaufmann,I
1427,1,Philip Kaufmann,I
1428,1,Philip Kaufmann,I
1430,1,Philip Kaufmann,I
1434,1,Philip Kaufmann,I
1441,1,Pieter Wuille,I
1442,1,Pieter Wuille,I
1443,1,Pieter Wuille,I
1444,1,Pieter Wuille,I
1445,1,Philip Kaufmann,I
1446,1,Philip Kaufmann,I
1448,1,Pieter Wuille,I
1449,1,Pieter Wuille,I
1454,1,Pieter Wuille,I
1455,2,Pieter Wuille,I
1456,1,Philip Kaufmann,I
1458,1,Wladimir J. van der Laan,I
1460,1,Philip Kaufmann,I
1463,5,Pieter Wuille,I
1466,4,Pieter Wuille,I
1467,1,Philip Kaufmann,I
1468,1,Philip Kaufmann,I
1470,1,Pieter Wuille,I
1471,1,Pieter Wuille,I
1472,30,Pieter Wuille,I
1473,1,Pieter Wuille,I
1480,1,Wladimir J. van der Laan,I
1483,2,Philip Kaufmann,I
1484,1,Wladimir J. van der Laan,I
1488,1,Philip Kaufmann,I
1489,1,Philip Kaufmann,I
1490,1,Pieter Wuille,I
1491,1,Philip Kaufmann,I
1492,1,Philip Kaufmann,I
1494,2,Wladimir J. van der Laan,I
1495,2,Wladimir J. van der Laan,I
1496,1,Wladimir J. van der Laan,I
1497,1,Wladimir J. van der Laan,I
1498,1,Wladimir J. van der Laan,I
1501,1,Philip Kaufmann,I
1504,3,Wladimir J. van der Laan,I
1505,1,Philip Kaufmann,I
1508,1,Wladimir J. van der Laan,I
1509,1,Philip Kaufmann,I
1511,1,Pieter Wuille,I
1514,1,Pieter Wuille,I
