PQID,UID,Year,Month,Day,CMT_AMT,CAT,UNM
20,1106,2013,8,23,1,M,Winston Chang
25,1106,2013,7,9,1,M,Winston Chang
29,1106,2013,6,24,2,M,Winston Chang
31,1106,2013,6,20,13,M,Winston Chang
33,1106,2013,6,12,1,M,Winston Chang
39,1106,2013,5,15,1,M,Winston Chang
40,1106,2013,5,15,1,M,Winston Chang
42,1106,2013,4,24,2,M,Winston Chang
42,1106,2013,5,6,1,M,Winston Chang
44,1106,2013,4,24,37,M,Winston Chang
46,1106,2013,4,18,2,M,Winston Chang
47,1106,2013,4,18,3,M,Winston Chang
48,1106,2013,3,30,4,M,Winston Chang
48,1106,2013,4,10,21,M,Winston Chang
49,1106,2013,3,30,4,M,Winston Chang
49,1106,2013,4,2,3,M,Winston Chang
53,1106,2013,3,16,1,M,Winston Chang
54,1106,2013,3,12,1,M,Winston Chang
56,1106,2013,3,11,4,M,Winston Chang
62,1106,2013,2,20,2,M,Winston Chang
62,1106,2013,3,8,9,M,Winston Chang
64,1106,2013,2,18,1,M,Winston Chang
65,1106,2013,2,18,2,M,Winston Chang
70,1106,2013,1,31,1,M,Winston Chang
70,1106,2013,2,11,15,M,Winston Chang
75,1106,2013,1,26,1,M,Winston Chang
77,1106,2013,1,30,3,M,Winston Chang
79,1106,2013,1,25,1,M,Winston Chang
80,1106,2013,1,24,3,M,Winston Chang
88,1106,2013,1,22,3,M,Winston Chang
90,1106,2013,1,22,3,M,Winston Chang
91,1106,2013,4,5,3,M,Winston Chang
92,1106,2013,1,22,1,M,Winston Chang
94,1106,2013,1,16,9,M,Winston Chang
95,1106,2013,4,1,2,M,Winston Chang
97,1106,2013,4,1,2,M,Winston Chang
104,1106,2013,1,7,1,M,Winston Chang
106,1106,2013,2,8,2,M,Winston Chang
107,1106,2013,1,4,4,M,Winston Chang
110,1106,2012,12,19,2,M,Winston Chang
112,1106,2012,12,19,2,M,Winston Chang
116,1106,2012,12,5,2,M,Winston Chang
118,1106,2012,12,3,1,M,Winston Chang
120,1106,2012,12,3,1,M,Winston Chang
124,1106,2012,10,30,2,M,Winston Chang
125,1106,2012,12,17,1,M,Winston Chang
125,1106,2013,1,16,2,M,Winston Chang
126,1106,2012,12,15,3,M,Winston Chang
129,1106,2012,12,15,4,M,Winston Chang
130,1106,2012,12,15,3,M,Winston Chang
134,1106,2012,12,11,3,M,Winston Chang
135,1106,2012,12,11,3,M,Winston Chang
140,1106,2012,11,3,1,M,Winston Chang
146,1106,2012,9,12,8,M,Winston Chang
147,1106,2012,8,29,2,M,Winston Chang
148,1106,2012,8,24,3,M,Winston Chang
151,1106,2012,8,16,10,M,Winston Chang
152,1106,2012,8,13,3,M,Winston Chang
155,1106,2012,8,11,10,M,Winston Chang
158,1106,2012,8,10,52,M,Winston Chang
162,1106,2012,7,26,3,M,Winston Chang
162,1106,2012,8,15,1,M,Winston Chang
163,1106,2012,7,23,2,M,Winston Chang
163,1106,2012,8,9,2,M,Winston Chang
171,1106,2012,5,21,3,M,Winston Chang
210,1198,2013,9,14,2,M,Philip Kaufmann
211,1198,2013,9,13,2,M,Philip Kaufmann
212,1198,2013,9,13,2,M,Philip Kaufmann
215,1188,2013,9,8,4,M,Luke-Jr
221,1207,2013,7,27,14,M,Pieter Wuille
221,1207,2013,9,14,5,M,Pieter Wuille
228,1207,2013,8,24,2,M,Pieter Wuille
229,1198,2013,8,24,2,M,Philip Kaufmann
232,1188,2013,8,20,4,M,Luke-Jr
239,1196,2013,8,6,1,M,Gavin Andresen
240,1207,2013,7,25,1,M,Pieter Wuille
243,1207,2013,7,24,3,M,Pieter Wuille
244,1207,2013,7,20,2,M,Pieter Wuille
245,1188,2012,5,12,1,M,Luke-Jr
248,1188,2013,7,1,1,M,Luke-Jr
249,1207,2013,1,11,2,M,Pieter Wuille
250,1207,2013,6,24,1,M,Pieter Wuille
251,1207,2013,6,22,1,M,Pieter Wuille
268,1188,2013,1,30,2,M,Luke-Jr
275,1188,2012,8,1,1,M,Luke-Jr
279,1188,2013,9,10,4,M,Luke-Jr
281,1189,2013,9,5,2,M,Wladimir J. van der Laan
282,1189,2013,9,5,1,M,Wladimir J. van der Laan
283,1198,2013,9,4,1,M,Philip Kaufmann
286,1200,2013,9,3,1,M,Matt Corallo
288,1198,2013,8,31,1,M,Philip Kaufmann
289,1198,2013,8,30,1,M,Philip Kaufmann
294,1189,2013,8,30,1,M,Wladimir J. van der Laan
295,1189,2013,8,29,1,M,Wladimir J. van der Laan
297,1198,2013,8,28,1,M,Philip Kaufmann
298,1196,2013,8,27,1,M,Gavin Andresen
300,1198,2013,8,25,1,M,Philip Kaufmann
301,1198,2013,8,25,1,M,Philip Kaufmann
303,1207,2013,8,24,1,M,Pieter Wuille
304,1198,2013,8,24,1,M,Philip Kaufmann
305,1198,2013,8,24,1,M,Philip Kaufmann
307,1198,2013,8,23,1,M,Philip Kaufmann
309,1198,2013,8,21,1,M,Philip Kaufmann
313,1188,2013,8,20,3,M,Luke-Jr
314,1207,2013,8,20,2,M,Pieter Wuille
317,1196,2013,8,19,1,M,Gavin Andresen
320,1207,2013,8,17,2,M,Pieter Wuille
326,1188,2013,4,19,1,M,Luke-Jr
326,1188,2013,7,15,2,M,Luke-Jr
326,1189,2013,5,19,1,M,Wladimir J. van der Laan
326,1196,2013,6,26,2,M,Gavin Andresen
