PQID,UID,Year,Month,Day,CMT_AMT,CAT,UNM
20,1106,2013,8,23,1,I,Winston Chang
25,1106,2013,7,9,1,I,Winston Chang
29,1106,2013,6,24,2,I,Winston Chang
31,1106,2013,6,20,13,I,Winston Chang
33,1106,2013,6,12,1,I,Winston Chang
39,1106,2013,5,15,1,I,Winston Chang
40,1106,2013,5,15,1,I,Winston Chang
42,1106,2013,4,24,2,I,Winston Chang
42,1106,2013,5,6,1,I,Winston Chang
44,1106,2013,4,24,37,I,Winston Chang
46,1106,2013,4,18,2,I,Winston Chang
47,1106,2013,4,18,3,I,Winston Chang
48,1106,2013,3,30,4,I,Winston Chang
48,1106,2013,4,10,21,I,Winston Chang
49,1106,2013,3,30,4,I,Winston Chang
49,1106,2013,4,2,3,I,Winston Chang
53,1106,2013,3,16,1,I,Winston Chang
54,1106,2013,3,12,1,I,Winston Chang
56,1106,2013,3,11,4,I,Winston Chang
62,1106,2013,2,20,2,I,Winston Chang
62,1106,2013,3,8,9,I,Winston Chang
64,1106,2013,2,18,1,I,Winston Chang
65,1106,2013,2,18,2,I,Winston Chang
70,1106,2013,1,31,1,I,Winston Chang
70,1106,2013,2,11,15,I,Winston Chang
75,1106,2013,1,26,1,I,Winston Chang
77,1106,2013,1,30,3,I,Winston Chang
79,1106,2013,1,25,1,I,Winston Chang
80,1106,2013,1,24,3,I,Winston Chang
88,1106,2013,1,22,3,I,Winston Chang
90,1106,2013,1,22,3,I,Winston Chang
91,1106,2013,4,5,3,I,Winston Chang
92,1106,2013,1,22,1,I,Winston Chang
94,1106,2013,1,16,9,I,Winston Chang
95,1106,2013,4,1,2,I,Winston Chang
97,1106,2013,4,1,2,I,Winston Chang
104,1106,2013,1,7,1,I,Winston Chang
106,1106,2013,2,8,2,I,Winston Chang
107,1106,2013,1,4,4,I,Winston Chang
110,1106,2012,12,19,2,I,Winston Chang
112,1106,2012,12,19,2,I,Winston Chang
116,1106,2012,12,5,2,I,Winston Chang
118,1106,2012,12,3,1,I,Winston Chang
120,1106,2012,12,3,1,I,Winston Chang
124,1106,2012,10,30,2,I,Winston Chang
125,1106,2012,12,17,1,I,Winston Chang
125,1106,2013,1,16,2,I,Winston Chang
126,1106,2012,12,15,3,I,Winston Chang
129,1106,2012,12,15,4,I,Winston Chang
130,1106,2012,12,15,3,I,Winston Chang
134,1106,2012,12,11,3,I,Winston Chang
135,1106,2012,12,11,3,I,Winston Chang
140,1106,2012,11,3,1,I,Winston Chang
146,1106,2012,9,12,8,I,Winston Chang
147,1106,2012,8,29,2,I,Winston Chang
148,1106,2012,8,24,3,I,Winston Chang
151,1106,2012,8,16,10,I,Winston Chang
152,1106,2012,8,13,3,I,Winston Chang
155,1106,2012,8,11,10,I,Winston Chang
158,1106,2012,8,10,52,I,Winston Chang
162,1106,2012,7,26,3,I,Winston Chang
162,1106,2012,8,15,1,I,Winston Chang
163,1106,2012,7,23,2,I,Winston Chang
163,1106,2012,8,9,2,I,Winston Chang
171,1106,2012,5,21,3,I,Winston Chang
210,1198,2013,9,14,2,I,Philip Kaufmann
211,1198,2013,9,13,2,I,Philip Kaufmann
212,1198,2013,9,13,2,I,Philip Kaufmann
221,1207,2013,7,27,14,I,Pieter Wuille
221,1207,2013,9,14,5,I,Pieter Wuille
228,1207,2013,8,24,2,I,Pieter Wuille
229,1198,2013,8,24,2,I,Philip Kaufmann
240,1207,2013,7,25,1,I,Pieter Wuille
243,1207,2013,7,24,3,I,Pieter Wuille
244,1207,2013,7,20,2,I,Pieter Wuille
249,1207,2013,1,11,2,I,Pieter Wuille
250,1207,2013,6,24,1,I,Pieter Wuille
251,1207,2013,6,22,1,I,Pieter Wuille
283,1198,2013,9,4,1,I,Philip Kaufmann
288,1198,2013,8,31,1,I,Philip Kaufmann
289,1198,2013,8,30,1,I,Philip Kaufmann
297,1198,2013,8,28,1,I,Philip Kaufmann
300,1198,2013,8,25,1,I,Philip Kaufmann
301,1198,2013,8,25,1,I,Philip Kaufmann
303,1207,2013,8,24,1,I,Pieter Wuille
304,1198,2013,8,24,1,I,Philip Kaufmann
305,1198,2013,8,24,1,I,Philip Kaufmann
307,1198,2013,8,23,1,I,Philip Kaufmann
309,1198,2013,8,21,1,I,Philip Kaufmann
314,1207,2013,8,20,2,I,Pieter Wuille
320,1207,2013,8,17,2,I,Pieter Wuille
326,1198,2013,6,23,2,I,Philip Kaufmann
326,1198,2013,7,13,9,I,Philip Kaufmann
326,1198,2013,8,5,2,I,Philip Kaufmann
326,1207,2013,4,29,3,I,Pieter Wuille
326,1207,2013,6,19,5,I,Pieter Wuille
326,1207,2013,7,13,2,I,Pieter Wuille
334,1198,2013,8,5,1,I,Philip Kaufmann
336,1198,2013,8,5,1,I,Philip Kaufmann
338,1207,2013,8,3,2,I,Pieter Wuille
342,1198,2013,8,2,1,I,Philip Kaufmann
347,1198,2013,7,29,1,I,Philip Kaufmann
350,1198,2013,7,24,1,I,Philip Kaufmann
351,1198,2013,7,23,1,I,Philip Kaufmann
352,1198,2013,7,23,1,I,Philip Kaufmann
355,1198,2013,7,23,1,I,Philip Kaufmann
357,1198,2013,7,22,1,I,Philip Kaufmann
358,1198,2013,7,22,1,I,Philip Kaufmann
372,1207,2013,6,22,2,I,Pieter Wuille
372,1207,2013,7,14,2,I,Pieter Wuille
373,1106,2013,1,6,3,I,Winston Chang
378,1198,2013,7,13,1,I,Philip Kaufmann
380,1198,2013,7,13,1,I,Philip Kaufmann
382,1207,2013,7,13,1,I,Pieter Wuille
387,1207,2013,6,23,1,I,Pieter Wuille
425,1207,2013,6,22,1,I,Pieter Wuille
428,1207,2013,6,19,1,I,Pieter Wuille
473,1198,2013,6,5,1,I,Philip Kaufmann
480,1198,2013,6,3,1,I,Philip Kaufmann
481,1198,2013,6,3,1,I,Philip Kaufmann
483,1106,2012,12,14,4,I,Winston Chang
485,1106,2013,2,13,13,I,Winston Chang
490,1207,2013,5,29,1,I,Pieter Wuille
493,1207,2013,6,29,1,I,Pieter Wuille
505,1198,2013,5,22,1,I,Philip Kaufmann
507,1207,2013,5,22,1,I,Pieter Wuille
513,1106,2012,12,11,4,I,Winston Chang
517,1207,2013,5,20,1,I,Pieter Wuille
529,1198,2012,5,8,2,I,Philip Kaufmann
529,1198,2012,6,11,3,I,Philip Kaufmann
529,1207,2012,5,12,1,I,Pieter Wuille
529,1207,2012,6,8,3,I,Pieter Wuille
539,2513,2013,7,25,1,I,Ivan De Marino
547,2513,2013,6,20,1,I,Ivan De Marino
562,2513,2013,4,30,1,I,Ivan De Marino
581,2513,2013,2,22,1,I,Ivan De Marino
581,2513,2013,3,17,2,I,Ivan De Marino
598,2513,2013,2,12,1,I,Ivan De Marino
601,1198,2013,5,12,1,I,Philip Kaufmann
603,1198,2013,5,12,1,I,Philip Kaufmann
608,1207,2013,5,12,1,I,Pieter Wuille
610,1207,2013,5,12,1,I,Pieter Wuille
623,1198,2013,5,7,1,I,Philip Kaufmann
636,1198,2013,5,6,1,I,Philip Kaufmann
647,2513,2012,12,21,2,I,Ivan De Marino
648,1198,2013,5,4,1,I,Philip Kaufmann
650,2513,2012,12,19,1,I,Ivan De Marino
652,2513,2012,12,17,1,I,Ivan De Marino
654,2513,2012,12,15,1,I,Ivan De Marino
659,2513,2012,12,12,1,I,Ivan De Marino
662,1207,2013,5,2,1,I,Pieter Wuille
670,1207,2013,5,1,1,I,Pieter Wuille
672,1207,2013,5,1,1,I,Pieter Wuille
675,1207,2013,4,30,2,I,Pieter Wuille
675,1207,2013,5,4,1,I,Pieter Wuille
678,1207,2013,4,30,1,I,Pieter Wuille
682,1207,2013,4,30,1,I,Pieter Wuille
684,1207,2013,4,29,3,I,Pieter Wuille
687,1207,2013,4,28,3,I,Pieter Wuille
701,1207,2013,4,26,1,I,Pieter Wuille
703,2513,2012,11,18,3,I,Ivan De Marino
708,2513,2012,11,17,1,I,Ivan De Marino
713,1207,2013,4,25,1,I,Pieter Wuille
714,2513,2012,9,28,8,I,Ivan De Marino
714,2513,2012,10,28,3,I,Ivan De Marino
716,1106,2013,1,15,11,I,Winston Chang
719,1207,2013,4,25,1,I,Pieter Wuille
722,1198,2013,4,25,1,I,Philip Kaufmann
724,1198,2013,4,25,1,I,Philip Kaufmann
725,2513,2012,10,31,1,I,Ivan De Marino
728,1198,2013,2,23,1,I,Philip Kaufmann
728,1207,2013,4,23,2,I,Pieter Wuille
730,1207,2013,4,23,1,I,Pieter Wuille
738,1198,2013,4,22,1,I,Philip Kaufmann
739,2513,2012,10,16,1,I,Ivan De Marino
744,1207,2013,4,18,1,I,Pieter Wuille
749,1198,2013,4,18,1,I,Philip Kaufmann
